"filename", "language", "Go", "Go Checksum File", "Go Module File", "MS SQL", "comment", "blank", "total"
"d:\NoveHero\backend\controllers\stories.go", "Go", 175, 0, 0, 0, 18, 41, 234
"d:\NoveHero\backend\controllers\user.go", "Go", 138, 0, 0, 0, 10, 42, 190
"d:\NoveHero\backend\database\database.go", "Go", 31, 0, 0, 0, 1, 6, 38
"d:\NoveHero\backend\database\models.go", "Go", 35, 0, 0, 0, 1, 5, 41
"d:\NoveHero\backend\glob\types.go", "Go", 28, 0, 0, 0, 3, 9, 40
"d:\NoveHero\backend\go.mod", "Go Module File", 0, 0, 28, 0, 0, 3, 31
"d:\NoveHero\backend\go.sum", "Go Checksum File", 0, 145, 0, 0, 0, 1, 146
"d:\NoveHero\backend\main.go", "Go", 21, 0, 0, 0, 1, 7, 29
"d:\NoveHero\backend\middleware\auth_middleware.go", "Go", 17, 0, 0, 0, 2, 5, 24
"d:\NoveHero\backend\mydatabase.db", "MS SQL", 0, 0, 0, 23, 0, 1, 24
"d:\NoveHero\backend\routes\auth.go", "Go", 21, 0, 0, 0, 2, 7, 30
"d:\NoveHero\backend\routes\routes.go", "Go", 46, 0, 0, 0, 9, 13, 68
"d:\NoveHero\backend\routes\stories.go", "Go", 36, 0, 0, 0, 2, 9, 47
"d:\NoveHero\backend\routes\user.go", "Go", 21, 0, 0, 0, 2, 5, 28
"d:\NoveHero\backend\utils\password.go", "Go", 5, 0, 0, 0, 1, 3, 9
"Total", "-", 574, 145, 28, 23, 52, 157, 979